OPEID,INSTName,State,StateNO,UGDs,SAT,PCTPELL,Salary,SalaryRate
00221700,Stonehill College,MA,20,2473,1133,0.1441,58800,0.80623972415924
00221800,Suffolk University,MA,20,5535,1014,0.292,49900,0.72476524114608
00221900,Tufts University,MA,20,5146,1428,0.1132,67800,0.86044073104858
00222400,Wellesley College,MA,20,2347,1399,0.1922,56700,0.75415283441543
00222500,Wentworth Institute of Technology,MA,20,3975,1109,0.2822,54600,0.80798768997192
00222600,Western New England University,MA,20,2648,1077,0.2502,55100,0.77756655216217
00218900,Westfield State University,MA,20,5524,995,0.2609,43300,0.67610836029052
00222800,Wheelock College,MA,20,839,996,0.3466,36400,0.65682655572891
00222900,Williams College,MA,20,2051,1439,0.1903,58100,0.65938866138458
00219000,Worcester State University,MA,20,5033,1016,0.271,43700,0.70270270109176
00223400,Adrian College,MI,21,1616,1007,0.4368,36500,0.5529716014862
00223500,Albion College,MI,21,1284,1143,0.2366,45100,0.6071428656578
00223600,Alma College,MI,21,1385,1100,0.306,44700,0.5709969997406
00223800,Andrews University,MI,21,1765,1070,0.3155,36000,0.59604519605636
00223900,Aquinas College,MI,21,1843,1090,0.3356,38100,0.60115605592727
00224100,Calvin College,MI,21,3895,1183,0.2326,40900,0.6576879620552
00224300,Central Michigan University,MI,21,20070,1029,0.349,40000,0.61231738328933
00224600,Cleary University,MI,21,450,976,0.4984,50500,0.81081080436706
00224700,Concordia University-Ann Arbor,MI,21,529,1010,0.4269,39000,0.59585493803024
00677100,College for Creative Studies,MI,21,1352,1010,0.3702,40600,0.59553349018096
00232300,University of Detroit Mercy,MI,21,2871,1142,0.2873,42200,0.73366212844848
00225900,Eastern Michigan University,MI,21,18543,1011,0.447,37300,0.59907835721969
00226000,Ferris State University,MI,21,12646,1010,0.4123,40300,0.6702943444252
00226200,Kettering University,MI,21,1640,1198,0.2523,74900,0.9140625
00226600,Cornerstone University,MI,21,2100,1084,0.4352,35600,0.53673726320266
00226800,Grand Valley State University,MI,21,21137,1090,0.3632,39100,0.65723210573196
00227300,Hope College,MI,21,3296,1204,0.204,43300,0.66902405023574
00227500,Kalamazoo College,MI,21,1427,1240,0.1856,49400,0.61971831321716
00229300,Lake Superior State University,MI,21,2299,1050,0.4152,35700,0.53506785631179
00227900,Lawrence Technological University,MI,21,3033,1145,0.1847,53700,0.70772057771682
00228200,Madonna University,MI,21,3080,1034,0.3568,36500,0.63790667057037
00228400,Marygrove College,MI,21,1041,780,0.7044,26800,0.44999998807907
00228800,Rochester College,MI,21,960,990,0.3883,34500,0.54896908998489
00232500,University of Michigan-Ann Arbor,MI,21,28077,1352,0.157,57900,0.78100734949111
00229000,Michigan State University,MI,21,37622,1158,0.2387,49800,0.73995685577392
00229200,Michigan Technological University,MI,21,5536,1206,0.267,60100,0.80012571811676
00232600,University of Michigan-Dearborn,MI,21,6793,1125,0.4298,47400,0.63285022974014
00232700,University of Michigan-Flint,MI,21,6746,993,0.4522,40100,0.59625875949859
00230100,Northern Michigan University,MI,21,7959,1030,0.3848,34800,0.52698534727096
00407200,Northwood University-Michigan,MI,21,2920,981,0.3353,44600,0.738241314888
00230700,Oakland University,MI,21,16113,1070,0.2034,42600,0.64710676670074
00230800,Olivet College,MI,21,1016,927,0.457,34100,0.51643192768096
